Entry	Organism	Gene Names	Protein names	EC number
P47141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSM26 YJR101W J1952	Small ribosomal subunit protein mS42 (37S ribosomal protein S26, mitochondrial)	
P47148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PXP2 YJR111C J2009	Peroxisomal protein 2	
P47153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TDA4 YJR116W J2031	Topoisomerase I damage affected protein 4	
P47155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ILM1 YJR118C J2033	Protein ILM1 (Increased loss of mitochondrial DNA protein 1)	
P47163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	EFM3 YJR129C J2061	Protein-lysine N-methyltransferase EFM3 (EC 2.1.1.-) (Elongation factor methyltransferase 3)	2.1.1.-
P47165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	XPT1 YJR133W J2118	Xanthine phosphoribosyltransferase 1 (XPRT) (EC 2.4.2.-)	2.4.2.-
P47166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SGM1 YJR134C J2120	Protein SGM1 (Slow growth on galactose and mannose protein 1)	
P47172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YJR141W J2166	Uncharacterized protein YJR141W	
P47175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HMS2 YJR147W J2204	Probable transcription factor HMS2 (High-copy MEP suppressor 2)	
P47177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YJR149W J2213	Putative nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase)	1.13.12.16
P47183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	THI11 YJR156C J2250	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI11 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (EC 2.-.-.-) (Thiamine biosynthesis protein 11) (Thiamine pyrimidine synthase)	2.-.-.-
P47187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COS5 YJR161C J2410	Protein COS5	
P47976	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CTH1 YDR151C YD8358.07C	mRNA decay factor CTH1 (Cysteine-three-histidine protein 1)	
P48353	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HLJ1 YMR161W YM8520.10	Protein HLJ1	
P48362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HGH1 YGR187C G7538	Protein HGH1 (HMG1/2 protein homolog)	
P48526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ISM1 YPL040C P7102.10	Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	6.1.1.5
P48560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TOS6 YNL300W N0430	Protein TOS6	
P48564	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRX6 YNL295W N0462	MIOREX complex component 6 (Mitochondrial organization of gene expression protein 6)	
P48589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS12 YOR369C	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	
P49089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ASN1 YPR145W P9659.3	Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)	6.3.5.4
P50104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STB4 YMR019W YM9711.08	Probable transcriptional regulatory protein STB4	
P50112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KNH1 YDL049C	Cell wall synthesis protein KNH1	
P50113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LYS5 YGL154C G1867	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (AASD-PPT) (EC 2.7.8.7)	2.7.8.7
P50273	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP22 TCM10 YDR350C D9476.9	Mitochondrial translation factor ATP22	
P50873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRK1 YDL079C	Serine/threonine-protein kinase MRK1 (EC 2.7.11.1)	2.7.11.1
P52290	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DIA3 YDL024C D2815	Probable acid phosphatase DIA3 (EC 3.1.3.2) (Digs into agar protein 3)	3.1.3.2
P52911	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	EXG2 YDR261C YD9320A.12C	Glucan 1,3-beta-glucosidase 2 (EC 3.2.1.58) (Exo-1,3-beta-glucanase 2)	3.2.1.58
P52918	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MSN5 YDR335W D9651.5	Protein MSN5	
P52924	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COS10 YNR075W N3820	Protein COS10	
P53036	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SAP4 YGL229C	SIT4-associating protein SAP4	
P53046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ROM1 SKC1 YGR070W	RHO1 GDP-GTP exchange protein 1 (Protein kinase C suppressor SKC1)	
P53047	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RTA1 YGR213C	Protein RTA1	
P53050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MGA1 YGR249W	Protein MGA1	
P53058	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VEL1 YGL258W NRA206	Protein VEL1 (Velum formation protein 1)	
P53060	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RMR1 YGL250W NRC245	Reduced meiotic recombination protein 1	
P53072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TAN1 YGL232W	tRNA acetyltransferase TAN1 (EC 2.3.-.-)	2.3.-.-
P53099	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPN1 YGL186C G1370	Vitamin B6 transporter TPN1 (Transport of pyridoxine protein 1)	
P53100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YGL185C G1380	Putative 2-hydroxyacid dehydrogenase YGL185C (EC 1.-.-.-)	1.-.-.-
P53118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ROG1 YGL144C	Putative lipase ROG1 (EC 3.1.-.-) (Revertant of glycogen synthase kinase mutation protein 1)	3.1.-.-
P53139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YGL108C G3070	Uncharacterized protein YGL108C	
P53142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VPS73 YGL104C G3090	Vacuolar protein sorting-associated protein 73	
P53155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YGL082W	Uncharacterized protein YGL082W	
P53172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SDS23 YGL056C	Protein SDS23	
P53183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YGL039W	Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-)	1.1.1.-
P53185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VIR1 YGL036W	Protein virilizer	
P53198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ERP6 YGL002W	Protein ERP6	
P53200	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	EFM5 AML1 YGR001C	Protein-lysine N-methyltransferase EFM5 (EC 2.1.1.-) (Elongation factor methyltransferase 5) (N(6)-adenine-specific DNA methyltransferase-like 1)	2.1.1.-
P53203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PEX31 YGR004W	Peroxisomal membrane protein PEX31 (Peroxin-31)	
P53241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VHT1 YGR065C	Vitamin H transporter (H(+)/biotin symporter)	
P53242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YGR066C	Uncharacterized protein YGR066C	
P53248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PEX8 PAS6 YGR077C	Peroxisomal biogenesis factor 8 (Peroxin-8) (Peroxisomal protein PAS6)	
P53253	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NNF2 YGR089W	Protein NNF2	
P53257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPC1 YGR096W	Mitochondrial thiamine pyrophosphate carrier 1	
P53279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FHN1 YGR131W	Non-classical export protein 2 homolog 1 (Functional homolog of NCE102)	
P53285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VPS62 YGR141W	Vacuolar protein sorting-associated protein 62	
P53289	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RTS3 YGR161C	Protein phosphatase type 2A regulatory subunit RTS3	
P53292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRPS35 YGR165W	Small ribosomal subunit protein mS45 (37S ribosomal protein S35, mitochondrial)	
P53304	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SLI1 YGR212W	N-acetyltransferase SLI1 (EC 2.3.1.-) (Sphingosine-like immunosuppressant resistant protein 1)	2.3.1.-
P53305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSM27 YGR215W	Small ribosomal subunit protein mS33 (Mitochondrial 37S ribosomal protein S27)	
P53315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SOL4 YGR248W	6-phosphogluconolactonase 4 (6PGL) (EC 3.1.1.31)	3.1.1.31
P53316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YGR250C	Uncharacterized RNA-binding protein YGR250C	
P53319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GND2 YGR256W G9170	6-phosphogluconate dehydrogenase, decarboxylating 2 (EC 1.1.1.44)	1.1.1.44
P53338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MAL13 MAL1R YGR288W G9591	Maltose fermentation regulatory protein MAL13	
P53394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YPR003C LPZ3C YP9723.03C	Putative sulfate transporter YPR003C	
P53438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SOK2 YMR016C YM9711.03C	Protein SOK2	
P53600	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RET3 YPL010W LPA7W YP8132.03	Coatomer subunit zeta (Zeta-coat protein) (Zeta-COP)	
P53630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BIO4 YNR057C N3506	Dethiobiotin synthetase (DTB synthetase) (EC 6.3.3.3) (Dethiobiotin synthase) (DTBS)	6.3.3.3
P53723	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YNR021W N3216	UPF0674 endoplasmic reticulum membrane protein YNR021W	
P53724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRPL50 YNR022C N3220	Large ribosomal subunit protein bL9m (54S ribosomal protein L50, mitochondrial)	
P53728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CPR8 YNR028W N3255	Peptidyl-prolyl cis-trans isomerase CYP8 (PPIase CYP8) (EC 5.2.1.8) (Rotamase CYP8)	5.2.1.8
P53733	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSM19 YNR037C N3300	Small ribosomal subunit protein uS19m (37S ribosomal protein S19, mitochondrial)	
P53735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ZRG17 YNR039C N3403	Protein ZRG17 (Zinc-regulated gene 17 protein)	
P53744	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BIO5 YNR056C N3502	7-keto 8-aminopelargonic acid transporter (KAPA transporter)	
P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PRM1 YNL279W N0605	Plasma membrane fusion protein PRM1 (Pheromone-regulated membrane protein 1)	
P53850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RTC4 YNL254C N0856	Restriction of telomere capping protein 4	
P53851	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TEX1 YNL253W N0860	Protein TEX1 (Trex component 1)	
P53854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CWC25 YNL245C N0901	Pre-mRNA-splicing factor CWC25 (Complexed with CEF1 protein 25)	
P53857	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YNL234W N1142	Uncharacterized globin-like protein YNL234W	
P53873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SWT21 YNL187W N1615	Protein SWT21 (Synthetic With TGS1 protein 21)	
P53878	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YNL181W N1640	Uncharacterized oxidoreductase YNL181W (EC 1.-.-.-)	1.-.-.-
P53881	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRPL22 YNL177C N1657	Large ribosomal subunit protein uL22m (54S ribosomal protein L22, mitochondrial)	
P53882	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TDA7 YNL176C N1661	Topoisomerase I damage affected protein 7	
P53883	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NOP13 YNL175C N1665	Nucleolar protein 13	
P53885	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MDG1 YNL173C N1673	Signal transduction protein MDG1 (Multicopy suppressor of defective G-protein 1)	
P53892	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	IBD2 YNL164C N1714	Protein IBD2 (Inhibition of bud division protein 2)	
P53898	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NSG2 YNL156C N1747	Protein NSG2 (INSIG homolog 2)	
P53913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FYV6 YNL133C N1215 N1850	Protein FYV6 (Function required for yeast viability protein 6)	
P53918	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ESBP6 MCH3 YNL125C N1223 N1882	Uncharacterized transporter ESBP6	
P53937	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SWS2 YNL081C N2322	Small ribosomal subunit protein uS13m (37S ribosomal protein SWS2, mitochondrial) (Sick without securin protein 2)	
P53949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	OCA2 YNL056W N2439 YNL2439W	Tyrosine-protein phosphatase-like protein OCA2 (Oxidant-induced cell-cycle arrest protein 2)	
P53960	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YNL040W N2679	Putative alanyl-tRNA editing protein alaX (AlaX) (AlaXp) (AlaXp-II) (Alanyl-tRNA deacylase alaX)	
P53961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GPI15 YNL038W N2687	Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI15 (GPI-GlcNAc transferase complex subunit GPI5) (GPI-GnT subunit GPI5) (EC 2.4.1.198) (PIGH homolog)	2.4.1.198
P53970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	EFM6 YNL024C N2809	Protein-lysine N-methyltransferase EFM6 (EC 2.1.1.-) (Elongation factor methyltransferase 6)	2.1.1.-
P54005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DIA1 YMR316W YM9924.08	Protein DIA1 (Digs into agar protein 1)	
P54730	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UBX4 YMR067C YM9916.06C	UBX domain-containing protein 4	
P56508	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SNA2 YDR525W-A YDR525BW	Protein SNA2	
P80235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YAT1 YAR035W	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	2.3.1.7
P87262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL34A YER056C-A YER056BC	Large ribosomal subunit protein eL34A (60S ribosomal protein L34-A)	
P87275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AIM11 GEP8 YER093C-A	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	
P89113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DDR2 YOL052C-A YOL052BC YOL053C-A	Protein DDR2	
P89886	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TMA20 YER007C-A	Translation machinery-associated protein 20	
Q00453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RGM1 YMR182C YM8010.12C	Probable transcription repressor protein RGM1	
Q01766	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HAL1 YPR005C YP9723.05C	Halotolerance protein HAL1	
Q02608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRPS16 YPL013C LPA4C	Small ribosomal subunit protein bS16m (37S ribosomal protein S16, mitochondrial)	
Q02710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ECM23 SRD2 YPL021W	Protein ECM23 (Extracellular mutant protein 23) (SRD1 homolog 2)	
Q02772	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PET191 YJR034W J1604	Mitochondrial protein PET191	
Q02803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	OAZ1 YPL052W	Ornithine decarboxylase antizyme (ODC-Az)	
Q02863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UBP16 YPL072W LPF12W	Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16)	3.4.19.12
Q02875	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SYH1 YPL105C	SMY2 homolog 2	
Q02889	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MGR2 YPL098C	Protein MGR2 (Mitochondrial genome-required protein 2)	
Q02961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YPL113C	Putative 2-hydroxyacid dehydrogenase YPL113C (EC 1.-.-.-)	1.-.-.-
Q03029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SPO19 YPL130W	Sporulation-specific protein 19	
Q03079	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRX11 YPL041C	MIOREX complex component 11 (Mitochondrial organization of gene expression protein 11)	
Q03085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SRL4 YPL033C	Oxidoreductase-like protein SRL4 (Suppressor of RAD53 and LCD1 4) (Suppressor of RAD53 null lethality 4)	
Q03099	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YML133C YM4987.01C YM4987.02C	Y' element ATP-dependent helicase YML133C (EC 3.6.4.12)	3.6.4.12
Q03151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MTG1 YMR097C YM6543.04C	Mitochondrial GTPase 1	
Q03153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP25 YMR098C YM6543.05C	ATPase synthesis protein 25, mitochondrial (OLI1 mRNA stabilization factor)	
Q03201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSM10 YDR041W YD6888.03	Small ribosomal subunit protein uS10m (37S ribosomal protein S10, mitochondrial)	
Q03212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	EAR1 YMR171C YM8010.01C YM8520.20C	Protein EAR1 (Endosomal adapter of RSP5)	
Q03218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MMT1 MFT1 YMR177W YM8010.07	Mitochondrial metal transporter 1	
Q03264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NGL2 YMR285C YM8021.11C	RNA exonuclease NGL2 (EC 3.1.-.-) (Carbon catabolite repressor protein 4 homolog)	3.1.-.-
Q03266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ABZ2 YMR289W YM8021.15	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	4.1.3.38
Q03419	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	IZH1 YDR492W	ADIPOR-like receptor IZH1 (Implicated in zinc homeostasis protein 1)	
Q03441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RMD1 YDL001W	Sporulation protein RMD1 (Required for meiotic nuclear division protein 1)	
Q03446	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RCR2 SSH5 YDR003W YD8119.09	Protein RCR2 (Protein SSH5) (Resistance to Congo red protein 2)	
Q03483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY2A-DR2 YDRWTy2-2 GAG YDR210W-A YD8142A.08	Transposon Ty2-DR2 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]	
Q03516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSN1 YMR266W YM8156.08	Uncharacterized protein RSN1 (Rescuer of SRO7 at high Nacl protein 1)	
Q03525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TMA23 YMR269W YM8156.11 YMR268W-A	Protein TMA23 (23 kDa translation machinery-associated protein)	
Q03652	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DML1 YMR211W YM8261.05	Protein DML1 (Drosophila melanogaster misato-like protein 1)	
Q03667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MIX17 MIC17 YMR002W YM8270.04	Mitochondrial intermembrane space cysteine motif-containing protein MIX17 (Mitochondrial intermembrane space CX(n)C motif protein of 17 kDa)	
Q03673	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AIM34 YMR003W YM8270.05	Altered inheritance of mitochondria protein 34, mitochondrial	
Q03697	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YMD8 YML038C	Putative nucleotide-sugar transporter YMD8	
Q03760	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PML39 YML107C YM8339.12	Pre-mRNA leakage protein 39 (39 kDa pre-mRNA leakage protein)	
Q03786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YDR248C	Probable gluconokinase (EC 2.7.1.12) (Gluconate kinase)	2.7.1.12
Q03796	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPP1 YMR156C YM8520.05C	Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase) (DNA 3'-phosphatase) (Three prime phosphatase)	3.1.3.32
Q03798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AIM36 FMP39 YMR157C YM8520.06C	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	
Q03799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRPS8 YMR158W YM8520.07	Small ribosomal subunit protein uS8m (37S ribosomal protein S8, mitochondrial)	
Q03856	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY1A-DR1 YDRCTy1-1 GAG YDR098C-A YD8557.07c	Transposon Ty1-DR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	
Q03880	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PKR1 YMR123W YM8564.05	V-type ATPase assembly factor PKR1	
Q03899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YDR131C	F-box protein YDR131C	
Q03942	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RKM2 YDR198C	Ribosomal lysine N-methyltransferase 2 (EC 2.1.1.-)	2.1.1.-
Q03964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY1A-DR2 YDR170W-A YD9395.02	Transposon Ty1-DR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	
Q03976	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSM24 YDR175C	Small ribosomal subunit protein mS35 (37S ribosomal protein S24, mitochondrial) (Mitochondrial ribosomal small subunit protein 24)	
Q04005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATC1 LIC4 YDR184C YD9395.18c	Protein ATC1/LIC4 (AIP3 complex protein 1) (Lithium comvertas protein 4)	
Q04007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SND1 YDR186C	SRP-independent targeting protein 1	
Q04031	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RRP17 YDR412W	Ribosomal RNA-processing protein 17	
Q04083	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	THI74 YDR438W	Thiamine-repressible mitochondrial transport protein THI74	
Q04201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CUE4 YML101C	CUE domain-containing protein CUE4 (Coupling of ubiquitin conjugation to ER degradation protein 4)	
Q04210	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YET2 YMR040W YM9532.05	Endoplasmic reticulum transmembrane protein 2	
Q04212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARA2 YMR041C YM9532.06C	D-arabinose 1-dehydrogenase (EC 1.1.1.116) (NAD(+)-specific D-arabinose dehydrogenase)	1.1.1.116
Q04215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY1A-MR1 YMRCTy1-3 GAG YMR046C YM9532.11C	Transposon Ty1-MR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	
